time,site_id,date_begin,date_end,agg_level,cluster_key,round,epoch,loss
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,140,0.0019736287649720907
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,141,0.002019350416958332
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,142,0.001954604173079133
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,143,0.0019652738701552153
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,144,0.0019484764197841287
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,145,0.00194742891471833
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,146,0.0019624356646090746
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,147,0.0019521096255630255
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,148,0.0019643998239189386
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,149,0.0019427580991759896
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,150,0.001955872168764472
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,151,0.00193505990318954
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,152,0.001955755753442645
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,153,0.0019506620010361075
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,154,0.001936469692736864
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,155,0.0019480922492220998
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,156,0.0019351911032572389
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,157,0.001967916265130043
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,158,0.0019610014278441668
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,159,0.0020000336226075888
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,160,0.0019614037591964006
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,161,0.001921706018038094
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,162,0.0019294611411169171
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,163,0.0019386791391298175
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,164,0.0019326235633343458
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,165,0.0019510590936988592
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,166,0.001930332975462079
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,167,0.0019299257546663284
